contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
SPXW260130C02400000,2026-01-30 14:34:26+00:00,2400.0,4555.2,4538.2,4539.8,-31.57959,-0.6884915,3.0,18.0,6.971680972900391,True,REGULAR,USD,call,2026-01-30
SPXW260130C02600000,2026-01-30 20:17:11+00:00,2600.0,4320.3,4337.3,4339.1,-66.63037,-1.5188382,1.0,3.0,5.359378300781248,True,REGULAR,USD,call,2026-01-30
SPXW260130C02800000,2026-01-30 16:41:08+00:00,2800.0,4142.19,4137.3,4139.1,38.739746,0.94407743,4.0,2.0,4.968753789062499,True,REGULAR,USD,call,2026-01-30
SPXW260130C03000000,2026-01-30 16:15:57+00:00,3000.0,3938.4,3936.1,3937.5,-36.47998,-0.9177631,1.0,12.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C03400000,2026-01-26 15:16:28+00:00,3400.0,3551.17,3536.1,3537.5,0.0,0.0,3.0,3.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C03600000,2026-01-21 15:04:22+00:00,3600.0,3252.01,3337.3,3339.1,0.0,0.0,2.0,2.0,3.6406258984375004,True,REGULAR,USD,call,2026-01-30
SPXW260130C04400000,2026-01-30 16:31:34+00:00,4400.0,2536.7,2538.2,2539.8,6.329834,0.25015447,1.0,1.0,3.144533388671875,True,REGULAR,USD,call,2026-01-30
SPXW260130C04500000,2026-01-20 15:55:11+00:00,4500.0,2362.42,2437.3,2439.1,0.0,0.0,1.0,0.0,2.4531288671875,True,REGULAR,USD,call,2026-01-30
SPXW260130C04600000,2026-01-30 19:50:46+00:00,4600.0,2333.6,2336.1,2337.6,52.80005,2.3149793,4.0,5.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C04700000,2026-01-30 17:28:54+00:00,4700.0,2232.98,2237.3,2239.1,-40.53003,-1.7827073,1.0,2.0,2.2187544531249994,True,REGULAR,USD,call,2026-01-30
SPXW260130C04800000,2026-01-30 15:13:32+00:00,4800.0,2159.12,2137.3,2139.1,0.32006836,0.014826216,1.0,4.0,2.1093797265624996,True,REGULAR,USD,call,2026-01-30
SPXW260130C04850000,2026-01-30 15:23:28+00:00,4850.0,2101.55,2086.1,2087.6,-9.139893,-0.43302867,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C04900000,2026-01-30 16:49:04+00:00,4900.0,2038.89,2037.6,2039.0,-29.749878,-1.438137,22.0,54.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
