
expiry: 2026-02-06  forward: 6940.52  df: 0.9987
 strike  c_price  c_iv  p_price  p_iv c_iv_minus_p_iv
 6250.0  690.200 32.99    0.700 33.62           -0.63
 6260.0  680.200 32.46    0.725 33.31           -0.85
 6270.0  670.850 35.08    0.750 32.98            2.09
 6275.0      NaN   NaN    0.750 32.75             NaN
 6280.0  660.850 34.55    0.750 32.53            2.02
 6290.0  650.500 32.53    0.800 32.32            0.21
 6300.0  640.700 32.89    0.800 31.86            1.03
 6310.0      NaN   NaN    0.850 31.64             NaN
 6320.0      NaN   NaN    0.850 31.18             NaN
 6325.0      NaN   NaN    0.900 31.17             NaN
 6330.0      NaN   NaN    0.900 30.94             NaN
 6340.0      NaN   NaN    0.950 30.68             NaN
 6350.0      NaN   NaN    0.975 30.31             NaN
 6360.0      NaN   NaN    1.000 29.94             NaN
 6370.0      NaN   NaN    1.050 29.66             NaN
 6375.0      NaN   NaN    1.100 29.61             NaN
 6380.0      NaN   NaN    1.100 29.37             NaN
 6390.0      NaN   NaN    1.150 29.07             NaN
 6400.0      NaN   NaN    1.200 28.76             NaN
 6410.0      NaN   NaN    1.250 28.44             NaN
 6420.0  521.200 28.32    1.325 28.19            0.13
 6425.0      NaN   NaN    1.350 28.02             NaN
 6430.0      NaN   NaN    1.375 27.85             NaN
 6440.0      NaN   NaN    1.450 27.57             NaN
 6450.0  491.700 28.03    1.525 27.28            0.76
 6460.0      NaN   NaN    1.625 27.04             NaN
 6470.0      NaN   NaN    1.725 26.78             NaN
 6475.0  466.800 26.92    1.750 26.58            0.33
 6480.0      NaN   NaN    1.800 26.45             NaN
 6490.0      NaN   NaN    1.925 26.22             NaN
 6500.0  442.050 26.09    2.025 25.91            0.18
 6505.0      NaN   NaN    2.075 25.76             NaN
 6510.0      NaN   NaN    2.150 25.65             NaN
 6515.0      NaN   NaN    2.225 25.53             NaN
 6520.0  422.250 25.39    2.300 25.41           -0.02
 6525.0  417.450 25.47    2.350 25.24            0.23
 6530.0  412.400 25.11    2.450 25.15           -0.04
 6535.0      NaN   NaN    2.525 25.02             NaN
 6540.0  402.600 24.89    2.600 24.88            0.02
 6545.0      NaN   NaN    2.700 24.77             NaN
 6550.0  392.700 24.50    2.800 24.66           -0.16
 6555.0      NaN   NaN    2.900 24.54             NaN
 6560.0  382.900 24.25    2.975 24.38           -0.13
 6565.0      NaN   NaN    3.075 24.26             NaN
 6570.0  373.500 24.53    3.175 24.13            0.40
 6575.0  368.400 24.11    3.250 23.95            0.16
 6580.0  363.350 23.76    3.450 23.95           -0.19
 6585.0      NaN   NaN    3.550 23.80             NaN
 6590.0      NaN   NaN    3.650 23.64             NaN
 6595.0      NaN   NaN    3.750 23.48             NaN
 6600.0  344.150 23.59    3.950 23.44            0.15
 6605.0  339.400 23.58    4.050 23.27            0.31
 6610.0      NaN   NaN    4.250 23.21             NaN
 6615.0      NaN   NaN    4.400 23.08             NaN
 6620.0  324.450 22.75    4.550 22.95           -0.21
 6625.0  319.850 22.87    4.750 22.87           -0.00
 6630.0  314.700 22.41    4.950 22.77           -0.36
 6635.0  310.450 22.84    5.150 22.67            0.18
 6640.0  305.400 22.49    5.300 22.51           -0.02
 6645.0      NaN   NaN    5.550 22.44             NaN
 6650.0  296.050 22.46    5.750 22.31            0.14
 6655.0  291.300 22.36    6.000 22.22            0.13
 6660.0      NaN   NaN    6.250 22.13             NaN
 6665.0      NaN   NaN    6.450 21.98             NaN
 6670.0      NaN   NaN    6.750 21.90             NaN
 6675.0  272.200 21.81    7.050 21.82           -0.01
 6680.0  267.400 21.63    7.300 21.69           -0.06
 6685.0  262.700 21.53    7.600 21.59           -0.06
 6690.0  258.000 21.41    7.900 21.47           -0.06
 6695.0  253.600 21.49    8.200 21.35            0.14
 6700.0  248.950 21.39    8.550 21.26            0.13
 6705.0  244.050 21.12    8.900 21.16           -0.04
 6710.0  239.350 20.97    9.250 21.04           -0.07
 6715.0  235.100 21.09    9.650 20.95            0.14
 6720.0  230.100 20.74   10.050 20.85           -0.11
 6725.0  225.600 20.69   10.450 20.74           -0.05
 6730.0  221.000 20.56   10.850 20.62           -0.05
 6735.0  216.500 20.49   11.300 20.51           -0.03
 6740.0  211.900 20.35   11.750 20.40           -0.06
 6745.0  207.550 20.33   12.250 20.31            0.02
 6750.0  203.200 20.29   12.750 20.20            0.09
 6755.0  198.400 20.02   13.250 20.08           -0.06
 6760.0  193.900 19.89   13.850 20.00           -0.11
 6765.0  189.600 19.85   14.400 19.89           -0.04
 6770.0  185.250 19.77   14.950 19.76            0.00
 6775.0  181.050 19.74   15.550 19.65            0.09
 6780.0  176.600 19.59   16.250 19.57            0.02
 6785.0  172.350 19.52   16.850 19.44            0.08
 6790.0  167.700 19.27   17.550 19.34           -0.07
 6795.0  163.700 19.27   18.250 19.22            0.05
 6800.0  159.200 19.06   19.050 19.14           -0.07
 6805.0  155.000 18.97   19.750 19.00           -0.04
 6810.0  150.850 18.87   20.550 18.89           -0.02
 6815.0  146.600 18.73   21.350 18.77           -0.04
 6820.0  142.650 18.69   22.250 18.67            0.01
 6825.0  138.400 18.52   23.150 18.56           -0.04
 6830.0  134.450 18.45   24.050 18.44            0.01
 6835.0  130.450 18.35   25.000 18.32            0.02
 6840.0  126.000 18.08   25.950 18.19           -0.12
 6845.0  122.250 18.03   27.000 18.08           -0.05
 6850.0  118.500 17.98   28.050 17.96            0.02
 6855.0  114.750 17.90   29.100 17.82            0.08
 6860.0  110.850 17.77   30.250 17.71            0.06
 6865.0  106.950 17.62   31.400 17.57            0.04
 6870.0  103.150 17.48   32.650 17.46            0.02
 6875.0   99.450 17.37   33.900 17.33            0.04
 6880.0   95.700 17.22   35.200 17.20            0.02
 6885.0   92.050 17.09   36.500 17.06            0.03
 6890.0   88.450 16.96   37.900 16.93            0.03
 6895.0   84.850 16.81   39.300 16.78            0.03
 6900.0   81.350 16.67   40.800 16.65            0.02
 6905.0   77.850 16.52   42.300 16.50            0.02
 6910.0   74.450 16.38   43.900 16.36            0.02
 6915.0   71.050 16.23   45.550 16.22            0.00
 6920.0   67.750 16.08   47.250 16.08            0.00
 6925.0   64.550 15.95   49.000 15.93            0.01
 6930.0   61.350 15.80   50.800 15.78            0.01
 6935.0   58.250 15.65   52.700 15.64            0.01
 6940.0   55.200 15.50   54.650 15.49            0.01
 6945.0   52.200 15.35   56.650 15.34            0.01
 6950.0   49.300 15.20   58.750 15.19            0.01
 6955.0   46.450 15.04   60.850 15.03            0.02
 6960.0   43.700 14.89   63.100 14.88            0.02
 6965.0   41.000 14.74   65.450 14.74           -0.00
 6970.0   38.400 14.58   67.800 14.57            0.01
 6975.0   35.850 14.42   70.250 14.41            0.01
 6980.0   33.400 14.26   72.850 14.27           -0.01
 6985.0   31.000 14.09   75.450 14.10           -0.01
 6990.0   28.800 13.96   78.150 13.94            0.02
 6995.0   26.600 13.79   80.950 13.78            0.02
